image_name,drowsiness_state,left_EAR,right_EAR,avg_EAR,MAR,lip_distance,mouth_width_height_ratio,head_tilt,head_nod,eyebrow_distance,eyebrow_asymmetry,facial_droop_asymmetry
X0405.png,1,0.272727273,0.260869565,0.266798419,0,0,0,0,1.553848797,17.31614739,0.015609771,0
X0406.png,1,0.25,0.272727273,0.261363636,0.014285714,0,0,0,1.536910997,17.62029613,0.803110319,1
X0407.png,1,0.145246277,0.149255579,0.147250928,0.014279887,0,0,-0.014284743,1.570796327,22.55475415,1.201629072,1
X0408.png,1,0.189618185,0.190260598,0.189939391,0.014279887,1,35.0142828,-0.013332543,1.553848797,19.77229106,0.499270607,1
X0409.png,1,0.199750468,0.216398111,0.20807429,0,0,0,0,1.536910997,19.41264373,0.474048923,1
X0410.png,1,0.19047619,0.193188366,0.191832278,0,0,0,0,1.554131203,18.55248659,1.268426272,0
X0411.png,1,0.190260598,0.181630644,0.185945621,0,0,0,-0.013332543,1.537475331,19.77229106,0.334425644,1
X0412.png,1,0.227038305,0.240180686,0.233609495,0.014699526,1,34.0147027,0,1.554131203,19.41264373,0.025221684,1
X0413.png,1,0.216398111,0.204334474,0.210366293,0.013883534,0,0,0,1.570796327,19.77229106,0.0486218,1
X0414.png,1,0.149906338,0.146059988,0.147983163,0.013888889,1,36,-0.013512691,1.553848797,22.83578405,0.010864433,1
X0415.png,1,0.189618185,0.193188366,0.191403276,0,0,0,-0.013512691,1.553848797,19.41264373,0.359647328,1
X0416.png,1,0.190260598,0.204334474,0.197297536,0.014279887,0,0,0,1.519992623,20.25914226,0.821276848,1
X0417.png,1,0.190260598,0.214043172,0.202151885,0,0,0,0,1.553848797,19.41264373,0.153501467,1
X0418.png,1,0.166478023,0.193188366,0.179833195,0.013513514,0,0,-0.013332543,1.554131203,20.11975051,0.347459453,1
X0419.png,1,0.193188366,0.216970941,0.205079654,0.014279887,1,35.0142828,0,1.554131203,19.77229106,0.347574439,2
X0420.png,1,0.204334474,0.204334474,0.204334474,0.014279887,1,35.0142828,0,1.553848797,18.89949494,0.538370479,2
X0421.png,1,0.193188366,0.181630644,0.187409505,0.014285714,0,0,-0.013512691,1.537475331,19.75914226,0.321276848,1
X0422.png,1,0.19047619,0.181630644,0.186053417,0,0,0,0,1.553254267,18.89949494,0.025221684,0
